product_id,product_name,category,sub_category,brand,unit_cost,unit_price,launch_date,is_active
PROD1000,Cadence Wellness Classic,Beauty & Personal Care,Wellness,Cadence,152.32,415.24,2023-09-08,Yes
PROD1001,Northfield Cookware Pro,Home & Kitchen,Cookware,Northfield,293.87,645.92,2025-11-10,Yes
PROD1002,Pinecrest Accessories Essential,Apparel,Accessories,Pinecrest,65.78,$100.91,2026-03-13,Yes
PROD1003,Vertex Camera Essential,Electronics,Cameras,Vertex,27.0,70.18,2023-02-06,Yes
PROD1004,Lumen Wellness Plus,Beauty & Personal Care,Wellness,Lumen,242.04,571.72,2025-04-04,Yes
PROD1005,Orion Smartphone Plus,Electronics,Smartphones,Orion,12.15,33.47,2024-06-06,Yes
PROD1006,Crestline Decor,Home & Kitchen,Decor,Crestline,333.65,540.02,2023-10-29,Yes
PROD1007,Meridian Basics Wellness X,Beauty & Personal Care,Wellness,Meridian Basics,76.0,119.71,2025-07-31,Yes
PROD1008,Lumen Accessories Pro,Apparel,Accessories,Lumen,124.48,259.81,2026-01-16,Yes
PROD1009,Nova Cameras X,Electronics,Cameras,Nova,175.05,304.03,2022-06-28,Yes
PROD1010,Cadence Wellnes X,Beauty & Personal Care,Wellness,Cadence,246.29,371.71,2026-03-25,Yes
PROD1011,Solstice Small Appliances Lite,Home & Kitchen,Small Appliances,Solstice,119.69,$221.37,2023-08-20,Yes
PROD1012,Northfield Cycling Lite,Sports & Outdoors,Cycling,Northfield,184.6,457.4,2022-10-28,Yes
PROD1013,TrueForm Fragrance,Beauty & Personal Care,Fragrance,TrueForm,83.07,172.07,2023-08-28,Yes
PROD1014,Orion Furniture Essential,Home & Kitchen,Furniture,Orion,238.6,326.8,2026-04-03,Yes
PROD1015,Lumen Cookware Lite,Home & Kitchen,Cookware,Lumen,244.59,380.53,2022-01-13,Yes
PROD1016,Orion Fitness Equipment Max,Sports & Outdoors,Fitness Equipment,Orion,29.76,81.05,2023-10-18,Yes
PROD1017,Nova Skincare Lite,Beauty & Personal Care,Skincare,Nova,386.39,970.84,2024-02-08,Yes
PROD1018,Nova Men's Clothing Classic,Apparel,Men's Clothing,Nova,124.63,180.28,2022-12-01,Yes
PROD1019,Northfield Footwear,Apparel,Footwear,Northfield,274.96,538.98,2023-04-26,Yes
PROD1020,Meridian Basics Furniture Max,Home & Kitchen,Furniture,Meridian Basics,52.33,106.9,2024-05-26,Yes
PROD1021,Everwood Small Appliances Max,Home & Kitchen,Small Appliances,Everwood,17.62,46.94,2024-06-22,Yes
PROD1022,Sabre Smart Home Max,Electronics,Smart Home,Sabre,106.48,$244.24,2023-01-30,Yes
PROD1023,BrightPath Fragrance Max,Beauty & Personal Care,Fragrance,BrightPath,127.44,265.09,2025-06-05,Yes
PROD1024,Pinecrest Skincare Classic,Beauty & Personal Care,Skincare,Pinecrest,220.5,$347.79,2022-09-04,Yes
PROD1025,Vertex Wellnes,Beauty & Personal Care,Wellness,Vertex,387.96,955.43,2025-01-14,No
PROD1026,Sabre Fragrance X,Beauty & Personal Care,Fragrance,Sabre,376.04,993.59,2023-10-10,Yes
PROD1027,Everwood Fitness Equipment Max,Sports & Outdoors,Fitness Equipment,Everwood,968.9100000000001,645.94,2025-02-11,Yes
PROD1028,Everwood Furniture Classic,Home & Kitchen,Furniture,Everwood,39.04,62.23,2021-12-10,Yes
PROD1029,Northfield Fragrance Pro,Beauty & Personal Care,Fragrance,Northfield,21.91,39.17,2022-01-25,Yes
PROD1030,Everwood Team Sports Classic,Sports & Outdoors,,Everwood,157.92,269.57,2025-09-02,Yes
PROD1031,Lumen Cookware Essential,Home & Kitchen,Cookware,Lumen,914.385,609.59,2025-12-17,Yes
PROD1032,Solstice Cycling X,Sports & Outdoors,Cycling,Solstice,115.25,243.64,2024-09-27,Yes
PROD1033,Crestline Wellness Classic,Beauty & Personal Care,Wellness,Crestline,59.81,149.72,2024-03-07,Yes
PROD1034,Orion Camping Lite,Sports & Outdoors,Camping,Orion,33.52,93.2,2024-02-27,Yes
PROD1035,Meridian Basics Women's Clothing Pro,Apparel,Women's Clothing,Meridian Basics,309.81,495.1,2023-08-30,Yes
PROD1036,Amberly Bedding Max,Home & Kitchen,Bedding,Amberly,6.19,15.62,2025-04-19,Yes
PROD1037,Pinecrest Smart Home Plus,Electronics,Smart Home,Pinecrest,1019.355,679.57,2025-02-05,Yes
PROD1038,Nova Small Appliance Plus,Home & Kitchen,Small Appliances,Nova,309.42,436.61,2023-07-29,Yes
PROD1039,Meridian Basics Smartphones X,Electronics,Smartphones,Meridian Basics,322.65,215.1,2026-04-07,Yes
PROD1040,Nova Cycling X,Sports & Outdoors,Cycling,Nova,345.79,772.82,2023-10-30,Yes
PROD1041,Solstice Tablets Lite,Electronics,Tablets,Solstice,135.04,188.43,2023-02-22,No
PROD1042,Nova Fitness Equipment,Sports & Outdoors,Fitness Equipment,Nova,127.15,227.32,2022-07-28,Yes
PROD1043,BrightPath Men's Clothing Pro,Apparel,Men's Clothing,BrightPath,292.92,660.93,2025-08-29,Yes
PROD1044,Crestline Small Appliances Essential,Home & Kitchen,Small Appliances,Crestline,355.34,713.64,2023-02-06,Yes
PROD1045,Sabre Furniture,Home & Kitchen,Furniture,Sabre,51.36,121.72,2022-11-21,Yes
PROD1046,Crestline Women's Clothing Essential,Apparel,Women's Clothing,Crestline,305.27,$653.86,2023-04-20,Yes
PROD1047,Solstice Footwear Classic,Apparel,Footwear,Solstice,309.3,631.19,2025-07-25,No
PROD1048,Sabre Cookware Pro,Home & Kitchen,Cookware,Sabre,211.0,409.62,2023-08-19,Yes
PROD1049,Vertex Small Appliances X,Home & Kitchen,Small Appliances,Vertex,14.07,20.57,2023-11-30,Yes
