ticket_id,customer_id,ticket_date,issue_category,channel,resolution_time_hours,satisfaction_score,ticket_text
TIX100000,CUST004178,2026-04-02,Delivery Delay,Email,9.8,5.0,My order ORD107221 still hasn't arrived and it's been over a week.
TIX100001,CUST003557,2025-08-29,Wrong Item Shipped,Phone,14.2,4.0,When will my refund for the returned item be processed?
TIX100002,CUST002786,2024-10-31,Damaged Item,Social Media,2.1,4.0,Can you tell me the warranty period on this product?
TIX100003,CUST003978,2026-06-24,Billing Issue,Social Media,16.2,5.0,"I can't log into my account, it says my password is invalid."
TIX100004,CUST001008,2025-09-13,Damaged Item,Phone,8.8,5.0,"I can't log into my account, it says my password is invalid."
TIX100005,CUST000893,2024-10-03,Wrong Item Shipped,Social Media,23.4,3.0,"I want to return this item, it doesn't fit as expected."
TIX100006,CUST003601,2025-10-29,Delivery Delay,Email,12.5,5.0,My order ORD127749 still hasn't arrived and it's been over a week.
TIX100007,CUST001910,2026-05-01,Billing Issue,Email,2.0,4.0,"I can't log into my account, it says my password is invalid."
TIX100008,CUST000214,2025-01-04,Account Access,Live Chat,3.1,1.0,"The item I received was damaged during shipping, need a replacement."
TIX100009,CUST004502,2025-12-23,Return Request,Phone,38.6,4.0,My order ORD114402 still hasn't arrived and it's been over a week.
TIX100010,CUST001478,2025-09-05,Account Access,Social Media,16.4,5.0,"The item I received was damaged during shipping, need a replacement."
TIX100011,CUST002506,2024-09-09,Return Request,Live Chat,1.3,3.0,"The item I received was damaged during shipping, need a replacement."
TIX100012,CUST003179,2025-07-07,Delivery Delay,Live Chat,6.6,3.0,When will my refund for the returned item be processed?
TIX100013,CUST001442,2026-04-21,Wrong Item Shipped,Social Media,25.5,4.0,"I can't log into my account, it says my password is invalid."
TIX100014,CUST004096,2025-01-06,Billing Issue,Live Chat,15.6,2.0,"Wrong item was shipped to me, I ordered a different color."
TIX100015,CUST005924,2025-04-04,Wrong Item Shipped,Live Chat,38.0,5.0,Can you tell me the warranty period on this product?
TIX100016,CUST003925,2025-06-15,Product Question,Social Media,6.1,5.0,My order ORD107457 still hasn't arrived and it's been over a week.
TIX100017,CUST004929,2025-01-09,Product Question,Live Chat,37.1,4.0,"The item I received was damaged during shipping, need a replacement."
TIX100018,CUST005191,2025-09-13,Account Access,Phone,9.9,1.0,  the delivery guy left my package outside in the rain!!  
TIX100019,CUST000153,2025-08-31,Delivery Delay,Phone,63.5,5.0,  the delivery guy left my package outside in the rain!!  
TIX100020,CUST002596,2026-01-22,Damaged Item,Social Media,33.9,5.0,Can you tell me the warranty period on this product?
TIX100021,CUST003982,2025-06-12,Return Request,Email,45.9,5.0,When will my refund for the returned item be processed?
TIX100022,CUST005061,2025-10-01,Refund Status,Email,32.5,,"The item I received was damaged during shipping, need a replacement."
TIX100023,CUST005092,2026-01-12,Delivery Delay,Phone,24.5,4.0,When will my refund for the returned item be processed?
TIX100024,CUST001125,2024-10-06,Account Access,Social Media,28.8,4.0,When will my refund for the returned item be processed?
TIX100025,CUST005364,2025-08-19,Wrong Item Shipped,Social Media,14.7,4.0,"I can't log into my account, it says my password is invalid."
TIX100026,CUST005127,2024-11-25,Product Question,Phone,8.9,5.0,"Great service, just wanted to confirm my order status."
TIX100027,CUST003627,2026-06-01,Refund Status,Phone,9.4,4.0,When will my refund for the returned item be processed?
TIX100028,CUST004305,2025-07-23,Damaged Item,Email,10.1,5.0,"The item I received was damaged during shipping, need a replacement."
TIX100029,CUST004584,2025-12-27,Refund Status,Social Media,12.7,2.0,"Great service, just wanted to confirm my order status."
TIX100030,CUST000463,2026-06-25,Billing Issue,Phone,20.4,5.0,My order ORD113185 still hasn't arrived and it's been over a week.
TIX100031,CUST004732,2025-02-27,Billing Issue,Live Chat,8.2,4.0,"Great service, just wanted to confirm my order status."
TIX100032,CUST005407,2024-09-18,Billing Issue,Social Media,20.6,,"Great service, just wanted to confirm my order status."
TIX100033,CUST005444,2026-06-14,Product Question,Email,7.4,3.0,"I want to return this item, it doesn't fit as expected."
TIX100034,CUST003198,2025-02-16,Damaged Item,Email,15.3,4.0,When will my refund for the returned item be processed?
TIX100035,CUST006015,2024-11-10,Account Access,Live Chat,19.4,2.0,"I can't log into my account, it says my password is invalid."
TIX100036,CUST001033,2025-12-09,Return Request,Phone,9.0,,  the delivery guy left my package outside in the rain!!  
TIX100037,CUST000945,2026-04-02,Damaged Item,Phone,14.1,5.0,My order ORD119857 still hasn't arrived and it's been over a week.
