product_id,product_name,category,sub_category,brand,unit_cost,unit_price,launch_date,is_active,Price_Level,Cost_Greater_Than_Price
PROD1000,Cadence Wellness Classic,Beauty & Personal Care,Wellness,Cadence,152.32,415.24,2023-09-08,Yes,High,0
PROD1001,Northfield Cookware Pro,Home & Kitchen,Cookware,Northfield,293.87,645.92,2025-11-10,Yes,High,0
PROD1002,Pinecrest Accessories Essential,Apparel,Accessories,Pinecrest,65.78,359.57,2026-03-13,Yes,High,0
PROD1003,Vertex Camera Essential,Electronics,Cameras,Vertex,27.0,70.18,2023-02-06,Yes,Low,0
PROD1004,Lumen Wellness Plus,Beauty & Personal Care,Wellness,Lumen,242.04,571.72,2025-04-04,Yes,High,0
PROD1005,Orion Smartphone Plus,Electronics,Smartphones,Orion,12.15,33.47,2024-06-06,Yes,Low,0
PROD1006,Crestline Decor,Home & Kitchen,Decor,Crestline,333.65,540.02,2023-10-29,Yes,High,0
PROD1007,Meridian Basics Wellness X,Beauty & Personal Care,Wellness,Meridian Basics,76.0,119.71,2025-07-31,Yes,Low,0
PROD1008,Lumen Accessories Pro,Apparel,Accessories,Lumen,124.48,259.81,2026-01-16,Yes,Low,0
PROD1009,Nova Cameras X,Electronics,Cameras,Nova,175.05,304.03,2022-06-28,Yes,Low,0
PROD1010,Cadence Wellnes X,Beauty & Personal Care,Wellness,Cadence,246.29,371.71,2026-03-25,Yes,Low,0
PROD1011,Solstice Small Appliances Lite,Home & Kitchen,Small Appliances,Solstice,119.69,408.14,2023-08-20,Yes,High,0
PROD1012,Northfield Cycling Lite,Sports & Outdoors,Cycling,Northfield,184.6,457.4,2022-10-28,Yes,High,0
PROD1013,TrueForm Fragrance,Beauty & Personal Care,Fragrance,TrueForm,83.07,172.07,2023-08-28,Yes,Low,0
PROD1014,Orion Furniture Essential,Home & Kitchen,Furniture,Orion,238.6,326.8,2026-04-03,Yes,Low,0
PROD1015,Lumen Cookware Lite,Home & Kitchen,Cookware,Lumen,244.59,380.53,2022-01-13,Yes,High,0
PROD1016,Orion Fitness Equipment Max,Sports & Outdoors,Fitness Equipment,Orion,29.76,81.05,2023-10-18,Yes,Low,0
PROD1017,Nova Skincare Lite,Beauty & Personal Care,Skincare,Nova,386.39,970.84,2024-02-08,Yes,High,0
PROD1018,Nova Men's Clothing Classic,Apparel,Men's Clothing,Nova,124.63,180.28,2022-12-01,Yes,Low,0
PROD1019,Northfield Footwear,Apparel,Footwear,Northfield,274.96,538.98,2023-04-26,Yes,High,0
PROD1020,Meridian Basics Furniture Max,Home & Kitchen,Furniture,Meridian Basics,52.33,106.9,2024-05-26,Yes,Low,0
PROD1021,Everwood Small Appliances Max,Home & Kitchen,Small Appliances,Everwood,17.62,46.94,2024-06-22,Yes,Low,0
PROD1022,Sabre Smart Home Max,Electronics,Smart Home,Sabre,106.48,372.95,2023-01-30,Yes,High,0
PROD1023,BrightPath Fragrance Max,Beauty & Personal Care,Fragrance,BrightPath,127.44,265.09,2025-06-05,Yes,Low,0
